Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,INQ300,IND310,INQ320
165,83896,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.01,1.0,2.0,1.0,1.0
166,83897,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.53,3.0,2.0,2.0,1.0
167,83898,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.38,3.0,2.0,3.0,1.0
168,83899,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.9,1.0,2.0,2.0,1.0
169,83900,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.63,2.0,2.0,1.0,1.0
170,83901,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.59,1.0,2.0,1.0,1.0
171,83902,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,1.0,,1.0
172,83903,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,2.98,3.0,2.0,1.0,1.0
173,83904,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,2.0,2.0
174,83905,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.17,1.0,2.0,1.0,2.0
175,83906,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
176,83907,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,,6.0
177,83908,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.63,3.0,2.0,1.0,1.0
178,83909,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,77.0
179,83910,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,3.0,3.0,2.0,2.0,1.0
180,83911,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.98,3.0,2.0,3.0,1.0
181,83912,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.33,2.0,2.0,2.0,1.0
182,83913,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.09,1.0,2.0,4.0,1.0
183,83914,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,2.64,3.0,1.0,,1.0
184,83915,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.9,3.0,2.0,1.0,1.0
185,83916,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.58,3.0,1.0,,1.0
186,83917,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,0.99,1.0,2.0,1.0,1.0
187,83918,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.63,2.0,2.0,1.0,1.0
188,83919,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.79,2.0,2.0,1.0,1.0
189,83920,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.35,1.0,2.0,1.0,2.0
190,83921,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.95,3.0,2.0,2.0,1.0
191,83922,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,0.74,1.0,2.0,1.0,1.0
192,83923,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.24,1.0,2.0,1.0,1.0
193,83924,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.12,1.0,2.0,1.0,1.0
194,83925,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.57,3.0,2.0,1.0,1.0
195,83926,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,,1.0
196,83927,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,4.94,3.0,2.0,1.0,1.0
197,83928,,,,,,,,,,,,,,,
198,83929,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.37,1.0,2.0,1.0,1.0
199,83930,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.84,1.0,2.0,1.0,1.0
200,83931,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.13,1.0,2.0,1.0,2.0
201,83932,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,3.01,3.0,1.0,,1.0
202,83933,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,1.69,2.0,2.0,1.0,1.0
