SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
62365,1,2,2,2,2,2,2,2,2,10,4.89,3,2,8,8,3.4,2,46,4,2011.2012
62366,2,2,1,2,2,2,2,2,2,6,1.67,2,1,6,6,1.65,1,80,3,2011.2012
62367,1,2,2,2,2,2,2,2,2,12,3.49,3,1,15,15,3.23,2,50,2,2011.2012
62368,2,2,2,2,2,2,2,2,2,3,0.83,1,2,3,3,0.81,2,80,1,2011.2012
62369,1,2,2,2,2,2,2,2,2,7,1.38,2,2,7,7,1.53,2,37,4,2011.2012
62371,1,2,2,2,2,2,2,2,2,10,4.89,3,1,14,14,5,2,33,5,2011.2012
62372,1,2,2,2,2,2,2,1,2,5,1.07,1,2,8,8,2.01,2,59,4,2011.2012
62373,1,1,2,1,2,2,2,2,2,2,0.31,1,1,6,6,1.34,2,48,3,2011.2012
62374,1,2,2,2,2,2,2,2,1,3,0.59,1,2,4,4,0.78,1,31,4,2011.2012
62375,1,2,2,2,2,2,1,2,1,4,0.78,1,1,4,4,0.65,2,20,3,2011.2012
62376,1,2,1,2,2,1,2,2,1,5,0.92,1,1,5,5,0.84,1,35,3,2011.2012
62377,2,2,1,2,2,2,2,2,2,3,1.24,1,2,3,3,1.24,1,78,2,2011.2012
62378,2,2,1,2,2,2,2,2,2,8,4.51,3,2,15,8,4.66,2,68,1,2011.2012
62379,1,2,1,1,2,2,2,2,2,10,3.22,3,1,10,10,3.22,2,29,5,2011.2012
62380,1,2,2,2,2,2,2,2,2,9,2.22,3,1,8,8,2,1,45,3,2011.2012
62381,1,2,1,2,1,1,2,2,2,2,0.74,1,1,7,2,0.74,1,70,2,2011.2012
